date,site_number,site_name,length,treatment,time,water_elevation,weather,water_temp,visibility_feet,visibility_meters,survey_method,video_or_observer,lfr_count,wr_count,sr_count,fr_count,trout_count,adult_predator_fish,other_juvenile_fish,comments,calculated_flow
12/8/2015,204,Bourbon,301,control,14:17:00,NA,3,53,5,1.523925632,snorkel downstream,observer,0,4,0,0,15,0,0,NA,4260
12/15/2015,204,Bourbon,301,control,11:15:00,NA,1,52,4,1.219140506,snorkel upstream,observer,0,0,0,2,11,0,3,"lamprey, sculpin, tts",4220
2/1/2016,204,Bourbon,301,control,12:25:00,NA,1,48,5,1.523925632,snorkel downstream,video,0,0,0,0,0,0,0,NA,3290
2/1/2016,204,Bourbon,301,control,13:04:00,NA,1,48,5,1.523925632,snorkel downstream,video,0,0,0,0,0,0,0,NA,3290
2/3/2016,206,Clear Creek,221,control,10:15:00,NA,2,48,9,2.743066138,snorkel downstream,observer,0,24,0,227,0,0,0,NA,3290
2/5/2016,206,Clear Creek,221,control,10:30:00,NA,1,47,6,1.828710759,snorkel downstream,observer,0,9,0,261,0,0,0,NA,3310
2/5/2016,206,Clear Creek,221,control,11:10:00,NA,1,47,6,1.828710759,snorkel upstream,observer,0,8,0,356,1,0,0,NA,3200
2/9/2016,208,Wyndham,458,control,10:30:00,NA,1,49,6,1.828710759,snorkel downstream,observer,0,49,0,449,NA,0,0,NA,3170
2/22/2016,207,Shea Island,683,baseline,11:30:00,NA,1,54,4,1.219140506,snorkel downstream,observer,0,2,0,3,2,0,0,NA,3310
2/25/2016,204,Bourbon,301,control,12:32:00,NA,1,51,4,1.219140506,snorkel downstream,observer,0,2,0,45,0,0,0,NA,3270
2/25/2016,206,Clear Creek,221,control,13:33:00,NA,1,51,4,1.219140506,snorkel downstream,observer,0,0,0,27,222,0,500,500 ciprinids,3260
2/26/2016,208,Wyndham,458,control,10:40:00,NA,1,51,4,1.219140506,snorkel upstream,observer,0,0,0,135,0,0,0,NA,3270
3/2/2016,204,Bourbon,301,control,11:25:00,NA,2,49,10,3.047851265,snorkel downstream,observer,0,0,0,35,1,0,1,1 Sac sucker,3280
3/2/2016,206,Clear Creek,221,control,13:35:00,NA,1,49,10,3.047851265,snorkel downstream,observer,0,0,0,58,40,0,271,"40 roach, 230 hard head, 1 sunfish",3260
4/12/2016,204,Bourbon,301,control,12:50:00,NA,4,52,7,2.133495885,snorkel downstream,observer,10,0,0,429,100,0,0,NA,5070
4/12/2016,206,Clear Creek,221,control,11:20:00,NA,4,56,10,3.047851265,snorkel downstream,observer,0,0,0,230,55,0,470,"240 PM, 230 HH",5100
4/12/2016,208,Wyndham,458,control,10:00:00,NA,4,52,7,2.133495885,snorkel downstream,observer,81,0,0,11,69,0,25,25 TSS,5040
4/21/2016,204,Bourbon,301,control,14:00:00,NA,2,59,6,1.828710759,snorkel downstream,observer,0,0,0,445,53,0,0,NA,5040
4/21/2016,208,Wyndham,458,control,12:50:00,NA,2,58,6,1.828710759,snorkel downstream,observer,0,0,0,20,20,0,4,4 Three spine stickleback,5040
4/25/2016,204,Bourbon,301,control,10:45:00,NA,1,55,5,1.523925632,snorkel downstream,observer,55,0,0,290,35,0,7,"7 TSS,",5040
4/25/2016,206,Clear Creek,221,control,12:00:00,NA,1,56,10,3.047851265,snorkel downstream,observer,0,0,0,77,160,0,702,"700 Hardhead, 2 Sac Suckers,",5030
4/25/2016,208,Wyndham,458,control,13:20:00,NA,1,57,7,2.133495885,snorkel downstream,observer,0,0,0,30,309,0,6,"1 Cal. Roach, 5 TSS",5040
5/3/2016,204,Bourbon,301,control,13:15:00,NA,2,58,6,1.828710759,snorkel downstream,observer,0,0,0,260,69,1,1,"1 adult pikeminnow, 1 sac sucker",5550
5/3/2016,206,Clear Creek,221,control,12:35:00,NA,2,58,10,3.047851265,snorkel downstream,observer,0,0,0,125,627,0,1569,"1063 HH, 1 sculpin 503 sac suckers, 2 sunfish,",5530
5/3/2016,208,Wyndham,458,control,10:05:00,NA,2,56,6,1.828710759,snorkel downstream,observer,0,0,0,0,140,0,0,NA,5530
5/11/2016,206,Clear Creek,221,control,13:20:00,NA,1,59,5,1.523925632,snorkel downstream,observer,48,0,0,240,102,0,0,NA,6530
5/11/2016,207,Shea Island,683,baseline,9:20:00,NA,1,60,2.5,0.761962816,snorkel downstream,observer,0,0,0,0,0,0,510,"500 SMALL MINNOWS, 10 SS",6560
5/12/2016,206,Clear Creek,221,control,13:45:00,NA,1,59,10,3.047851265,snorkel downstream,observer,0,0,0,0,338,0,1012,"410 PM, 320 HH, 4 TSS, 260 SS, 18 TP",6560
5/12/2016,208,Wyndham,458,control,11:25:00,NA,1,58,5,1.523925632,snorkel downstream,observer,0,0,0,0,269,0,1,1TSS,6530
