date,site_number,site_name,length,treatment,time,water_elevation,weather,water_temp,visibility_feet,visibility_meters,survey_method,video_or_observer,lfr_count,wr_count,sr_count,fr_count,trout_count,adult_predator_fish,other_juvenile_fish,comments,calculated_flow
2015-12-08,204,Bourbon,301,control,14:17:00,NA,3,11.666666666666666,5,1.523925632,snorkel downstream,observer,0,4,0,0,15,0,0,NA,4260
2015-12-15,204,Bourbon,301,control,11:15:00,NA,1,11.11111111111111,4,1.219140506,snorkel upstream,observer,0,0,0,2,11,0,3,"lamprey, sculpin, tts",4220
2016-02-01,204,Bourbon,301,control,12:25:00,NA,1,8.888888888888888,5,1.523925632,snorkel downstream,video,0,0,0,0,0,0,0,NA,3290
2016-02-01,204,Bourbon,301,control,13:04:00,NA,1,8.888888888888888,5,1.523925632,snorkel downstream,video,0,0,0,0,0,0,0,NA,3290
2016-02-03,206,Clear Creek,221,control,10:15:00,NA,2,8.888888888888888,9,2.743066138,snorkel downstream,observer,0,24,0,227,0,0,0,NA,3290
2016-02-05,206,Clear Creek,221,control,10:30:00,NA,1,8.333333333333332,6,1.828710759,snorkel downstream,observer,0,9,0,261,0,0,0,NA,3310
2016-02-05,206,Clear Creek,221,control,11:10:00,NA,1,8.333333333333332,6,1.828710759,snorkel upstream,observer,0,8,0,356,1,0,0,NA,3200
2016-02-09,208,Wyndham,458,control,10:30:00,NA,1,9.444444444444443,6,1.828710759,snorkel downstream,observer,0,49,0,449,NA,0,0,NA,3170
2016-02-22,207,Shea Island,683,baseline,11:30:00,NA,1,12.222222222222221,4,1.219140506,snorkel downstream,observer,0,2,0,3,2,0,0,NA,3310
2016-02-25,204,Bourbon,301,control,12:32:00,NA,1,10.555555555555554,4,1.219140506,snorkel downstream,observer,0,2,0,45,0,0,0,NA,3270
2016-02-25,206,Clear Creek,221,control,13:33:00,NA,1,10.555555555555554,4,1.219140506,snorkel downstream,observer,0,0,0,27,222,0,500,500 ciprinids,3260
2016-02-26,208,Wyndham,458,control,10:40:00,NA,1,10.555555555555554,4,1.219140506,snorkel upstream,observer,0,0,0,135,0,0,0,NA,3270
2016-03-02,204,Bourbon,301,control,11:25:00,NA,2,9.444444444444443,10,3.047851265,snorkel downstream,observer,0,0,0,35,1,0,1,1 Sac sucker,3280
